file: scen\room-32-32-4-even-1.scen, avg_cost: 416, num_iteration:2, avg_duration: 122000450, std_duration: 1416829.8574634853
file: scen\room-32-32-4-even-10.scen, avg_cost: 381.5, num_iteration:2, avg_duration: 188999000, std_duration: 28283564.140680715
file: scen\room-32-32-4-even-11.scen, avg_cost: 330.5, num_iteration:2, avg_duration: 1185015550, std_duration: 555807921.0335213
file: scen\room-32-32-4-even-12.scen, avg_cost: 383.5, num_iteration:2, avg_duration: 88030200, std_duration: 21213910.542377613
file: scen\room-32-32-4-even-13.scen, avg_cost: 417, num_iteration:2, avg_duration: 76997750, std_duration: 21211577.089999698
file: scen\room-32-32-4-even-14.scen exceeded time Limit
file: scen\room-32-32-4-even-15.scen, avg_cost: 421, num_iteration:2, avg_duration: 356280300, std_duration: 344671846.57885826
file: scen\room-32-32-4-even-16.scen, avg_cost: 431, num_iteration:2, avg_duration: 60498300, std_duration: 2121886.028984592
file: scen\room-32-32-4-even-17.scen, avg_cost: 368.5, num_iteration:2, avg_duration: 118500850, std_duration: 3534331.8244047207
file: scen\room-32-32-4-even-18.scen, avg_cost: 364.5, num_iteration:2, avg_duration: 128498550, std_duration: 64345939.27051652
file: scen\room-32-32-4-even-19.scen, avg_cost: 491, num_iteration:2, avg_duration: 112499800, std_duration: 3540483.6534010433
file: scen\room-32-32-4-even-2.scen, avg_cost: 419.5, num_iteration:2, avg_duration: 215913700, std_duration: 100007950.5408445
file: scen\room-32-32-4-even-20.scen, avg_cost: 420.5, num_iteration:2, avg_duration: 316513950, std_duration: 143563960.49498287
file: scen\room-32-32-4-even-21.scen, avg_cost: 381, num_iteration:2, avg_duration: 240015100, std_duration: 59375897.837590635
file: scen\room-32-32-4-even-22.scen, avg_cost: 330.5, num_iteration:2, avg_duration: 70937050, std_duration: 16884790.695919212
file: scen\room-32-32-4-even-23.scen, avg_cost: 372.5, num_iteration:2, avg_duration: 1531514950, std_duration: 2045681343.308152
file: scen\room-32-32-4-even-24.scen, avg_cost: 511.5, num_iteration:2, avg_duration: 148515000, std_duration: 61538371.79581533
file: scen\room-32-32-4-even-25.scen, avg_cost: 395, num_iteration:2, avg_duration: 109819000, std_duration: 32800986.522969093
file: scen\room-32-32-4-even-3.scen, avg_cost: 334.5, num_iteration:2, avg_duration: 200500100, std_duration: 86974416.92865781
file: scen\room-32-32-4-even-4.scen, avg_cost: 372, num_iteration:2, avg_duration: 97500800, std_duration: 2121461.76491588
file: scen\room-32-32-4-even-5.scen, avg_cost: 451.5, num_iteration:2, avg_duration: 135012300, std_duration: 82006708.94810985
file: scen\room-32-32-4-even-6.scen, avg_cost: 507, num_iteration:2, avg_duration: 272577200, std_duration: 212723034.20367998
file: scen\room-32-32-4-even-7.scen, avg_cost: 304, num_iteration:2, avg_duration: 81000050, std_duration: 9899707.068646021
file: scen\room-32-32-4-even-8.scen, avg_cost: 297, num_iteration:2, avg_duration: 63515900, std_duration: 16242101.342498759
file: scen\room-32-32-4-even-9.scen, avg_cost: 460, num_iteration:2, avg_duration: 67513300, std_duration: 6346000.5184367895


Instance summary: num_iteration for each case: 2, instance_avg_duration: 249507047, num_time_exceeded: 1, success_ratio: 96.0%
