file: scen\room-32-32-4-even-1.scen, avg_cost: 418.4, num_iteration:5, avg_duration: 168810720, std_duration: 64059976.194750495
file: scen\room-32-32-4-even-10.scen, avg_cost: 398.2, num_iteration:5, avg_duration: 157486140, std_duration: 44059814.98773003
file: scen\room-32-32-4-even-11.scen, avg_cost: 310.2, num_iteration:5, avg_duration: 690404980, std_duration: 721352844.0227202
file: scen\room-32-32-4-even-12.scen, avg_cost: 393.8, num_iteration:5, avg_duration: 142399880, std_duration: 22699153.669399217
file: scen\room-32-32-4-even-13.scen, avg_cost: 416, num_iteration:5, avg_duration: 76618180, std_duration: 18377713.86372636
file: scen\room-32-32-4-even-14.scen exceeded time Limit
file: scen\room-32-32-4-even-15.scen, avg_cost: 427.2, num_iteration:5, avg_duration: 395435800, std_duration: 131252616.39790271
file: scen\room-32-32-4-even-16.scen, avg_cost: 431, num_iteration:5, avg_duration: 146465980, std_duration: 8877091.341593822
file: scen\room-32-32-4-even-17.scen, avg_cost: 361, num_iteration:5, avg_duration: 180202680, std_duration: 78991703.02792566
file: scen\room-32-32-4-even-18.scen, avg_cost: 361.8, num_iteration:5, avg_duration: 343425400, std_duration: 223792144.75019002
file: scen\room-32-32-4-even-19.scen, avg_cost: 481.6, num_iteration:5, avg_duration: 459399960, std_duration: 298189419.62328744
file: scen\room-32-32-4-even-2.scen, avg_cost: 426.6, num_iteration:5, avg_duration: 761719580, std_duration: 394663871.3402799
file: scen\room-32-32-4-even-20.scen, avg_cost: 403.6, num_iteration:5, avg_duration: 706066320, std_duration: 372137811.01952946
file: scen\room-32-32-4-even-21.scen exceeded time Limit
file: scen\room-32-32-4-even-22.scen, avg_cost: 345.8, num_iteration:5, avg_duration: 452200080, std_duration: 233712913.79319844
file: scen\room-32-32-4-even-23.scen exceeded time Limit
file: scen\room-32-32-4-even-24.scen, avg_cost: 508.2, num_iteration:5, avg_duration: 910416620, std_duration: 494726123.9253058
file: scen\room-32-32-4-even-25.scen, avg_cost: 391, num_iteration:5, avg_duration: 384829140, std_duration: 180728567.4625846
file: scen\room-32-32-4-even-3.scen, avg_cost: 359.6, num_iteration:5, avg_duration: 722318880, std_duration: 327784920.95707667
file: scen\room-32-32-4-even-4.scen, avg_cost: 411.4, num_iteration:5, avg_duration: 619203980, std_duration: 193434561.46479356
file: scen\room-32-32-4-even-5.scen, avg_cost: 443.4, num_iteration:5, avg_duration: 375322960, std_duration: 438295919.66607785
file: scen\room-32-32-4-even-6.scen, avg_cost: 515.2, num_iteration:5, avg_duration: 987352480, std_duration: 409668742.74687713
file: scen\room-32-32-4-even-7.scen, avg_cost: 300.4, num_iteration:5, avg_duration: 288268440, std_duration: 140633295.0405522
file: scen\room-32-32-4-even-8.scen, avg_cost: 301.2, num_iteration:5, avg_duration: 218794520, std_duration: 79537826.7347493
file: scen\room-32-32-4-even-9.scen, avg_cost: 457, num_iteration:5, avg_duration: 148210300, std_duration: 13839056.028862663


Instance summary: num_iteration for each case: 5, instance_avg_duration: 424334228, num_time_exceeded: 3, success_ratio: 88.0%
